Tarih,Sembol,Fiyat,Hacim,Değişim (%)
2026-02-23 13:30:00,TSLA,395.97,11132439,-0.02
2026-02-23 13:35:00,TSLA,395.57,11549692,-0.1
2026-02-23 13:40:00,TSLA,396.12,305961,0.14
2026-02-23 13:45:00,TSLA,396.22,11770330,0.03
2026-02-23 13:50:00,TSLA,394.82,357111,-0.35
2026-02-23 13:55:00,TSLA,394.45,12247606,-0.09
2026-02-23 14:00:00,TSLA,394.71,362186,0.07
2026-02-23 14:05:00,TSLA,395.14,343678,0.11
2026-02-23 14:10:00,TSLA,395.02,301710,-0.03
2026-02-23 14:15:00,TSLA,394.7,12861757,-0.08
2026-02-23 14:20:00,TSLA,394.6,13032299,-0.03
2026-02-23 14:25:00,TSLA,394.39,322055,-0.05
2026-02-23 14:30:00,TSLA,394.55,13340539,0.04
2026-02-23 14:35:00,TSLA,394.43,13233458,-0.03
2026-02-23 14:40:00,TSLA,394.33,13441182,-0.03
2026-02-23 14:45:00,TSLA,394.87,346164,0.14
2026-02-23 14:50:00,TSLA,395.07,419896,0.05
2026-02-23 14:55:00,TSLA,395.34,13999501,0.07
2026-02-23 15:00:00,TSLA,395.49,471495,0.04
2026-02-23 15:05:00,TSLA,395.12,14142376,-0.09
2026-02-23 15:10:00,TSLA,394.53,432915,-0.15
2026-02-23 15:15:00,TSLA,395.1,390748,0.14
2026-02-23 15:20:00,TSLA,395.07,366222,-0.01
2026-02-23 15:25:00,TSLA,395.53,14674980,0.12
2026-02-23 15:30:00,TSLA,396.18,534155,0.17
2026-02-23 15:35:00,TSLA,396.14,15005173,-0.01
2026-02-23 15:40:00,TSLA,396.54,15368372,0.1
2026-02-23 15:45:00,TSLA,396.46,597471,-0.02
2026-02-23 15:50:00,TSLA,397.07,931053,0.15
2026-02-23 15:55:00,TSLA,398.3,494621,0.31
2026-02-23 00:05:00,BTC-USD,67589.01,0,-0.03
2026-02-23 00:10:00,BTC-USD,67584.26,51630080,-0.01
2026-02-23 00:15:00,BTC-USD,67587.9,16345088,0.01
2026-02-23 00:20:00,BTC-USD,67450.82,9410560,-0.2
2026-02-23 00:25:00,BTC-USD,67421.04,5109760,-0.04
2026-02-23 00:30:00,BTC-USD,67358.94,82020352,-0.09
2026-02-23 00:35:00,BTC-USD,67220.34,197707776,-0.21
2026-02-23 00:40:00,BTC-USD,67172.98,186654720,-0.07
2026-02-23 00:45:00,BTC-USD,67120.41,32552960,-0.08
2026-02-23 00:50:00,BTC-USD,67067.48,152670208,-0.08
2026-02-23 00:55:00,BTC-USD,66794.61,127266816,-0.41
2026-02-23 01:00:00,BTC-USD,66138.82,192915456,-0.98
2026-02-23 01:05:00,BTC-USD,65751.28,568463360,-0.59
